model,n,people,term,slope,lo,hi,p
PRIMARY: n_turns (all events),204,14,z_n_turns,0.0406677758503474,0.015690392645372916,0.06564515905532188,0.0014169198732650852
"SECONDARY: duration, complete case",96,14,z_duration_sec,0.09984608272516365,0.05735806851464796,0.14233409693567933,4.1072375211429685e-06
"SECONDARY: duration, IPW",96,14,z_duration_sec,0.1090058099490091,0.0022088029717493574,0.21580281692626885,0.045446250275310275
"OLD SPEC: duration, no controls",96,14,z_duration_sec,0.1679251654074517,0.12330452395752062,0.21254580685738278,1.629672051035867e-13
