stratum,n_runs,obs_hours,n_hs3_transitions,n_into_hs3,empirical_starving,modelled_starving,irreducible,identified
POOLED,12,45.99341352027917,17,10,0.01670013919948322,0.010060207267477455,True,True
visit=idle,2,0.6723136299819448,0,0,0.0,,False,False
visit=visited,10,45.321099890297226,17,10,0.016947876594065124,0.010280956595177384,True,True
phase=P1,8,25.126636901746945,11,8,0.028094646008563057,0.021050413890846855,True,True
phase=P2,4,20.866776618532224,6,2,0.0029794941520848548,0.0010024773527497984,True,True
