window_min,n_pings,ping_k,ping_rate,ping_lo,ping_hi,n_matched,match_coverage,matched_ping_rate,matched_ping_lo,matched_ping_hi,control_rate,control_lo,control_hi,paired_diff,sub_boot_lo,sub_boot_hi,run_boot_lo,run_boot_hi,diff_across_seeds_min,diff_across_seeds_max,n_seeds
15,172,20,0.11627906976744186,0.07249175046023955,0.17385924809430733,172,1.0,0.11627906976744186,0.07249175046023955,0.17385924809430733,0.01744186046511628,0.0036114761304165653,0.05012416288661772,0.09883720930232558,0.06328780812791472,0.14285714285714285,0.05686776274002052,0.14371688278120018,0.08139534883720931,0.09883720930232558,5
30,172,29,0.1686046511627907,0.1159199397705738,0.23308443032973944,128,0.7441860465116279,0.203125,0.13718631545276977,0.2832872366048366,0.03125,0.008578935537261197,0.0780795254384704,0.171875,0.08870967741935484,0.2564189189189189,0.09701492537313433,0.264,0.171875,0.18604651162790697,5
60,172,36,0.20930232558139536,0.15110679938488944,0.27779511138540414,67,0.38953488372093026,0.26865671641791045,0.1676406944763287,0.39096222164577193,0.04477611940298507,0.009330843412756905,0.12532703599394154,0.22388059701492538,0.12303030303030305,0.3143052837573385,0.13636363636363635,0.375,0.1791044776119403,0.22388059701492538,5
