target,cv,model,auc,pr_auc,baseline_pr,n,pos
replied_any,leave-one-run-out,logit(L2),0.6192814371257485,0.7901652260088268,0.7695852534562212,217,167
replied_any,leave-one-run-out,gbm,0.7111377245508983,0.8377225653294009,0.7695852534562212,217,167
replied_any,leave-one-person-out,logit(L2),0.6276646706586826,0.7982120297415515,0.7695852534562212,217,167
replied_any,leave-one-person-out,gbm,0.7154491017964072,0.8370240026544168,0.7695852534562212,217,167
reached_ss4,leave-one-run-out,logit(L2),0.7182745825602969,0.7523484363261005,0.6451612903225806,217,140
reached_ss4,leave-one-run-out,gbm,0.7571428571428572,0.8104481416832485,0.6451612903225806,217,140
reached_ss4,leave-one-person-out,logit(L2),0.7240723562152134,0.7637716552545956,0.6451612903225806,217,140
reached_ss4,leave-one-person-out,gbm,0.7350185528756957,0.7970613167898548,0.6451612903225806,217,140
