,coef,p
Intercept,0.1485632453614984,0.6400131335842855
C(role)[T.feeder],-1.220383738069393,0.0013995070746028035
C(role)[T.no_feed],1.8181824248816392,0.02279355794312716
C(phase)[T.P2],0.8718089984324439,0.017160394543046843
C(hunger_state_start)[T.HS2],-0.13604252451216609,0.7277126008344301
C(hunger_state_start)[T.HS3],1.7437444537501299,0.041883168546025626
C(trigger_mode)[T.reactive],-25.20358923613572,0.999519200218845
fed,-0.3413142239840401,0.4977469460344712
z_n_turns,0.19454923164809956,0.3650872797365451
