outcome,k,n,rate,exact_lo,exact_hi
received a feed,13,17,0.7647058823529411,0.5010067267954198,0.9318922595626433
escaped Starving via feeding,13,17,0.7647058823529411,0.5010067267954198,0.9318922595626433
recovered to Full via feeding,13,17,0.7647058823529411,0.5010067267954198,0.9318922595626433
right-censored at end of run,0,17,0.0,0.0,0.1950643229690932
