model,people,n_events,dose_slope,lo,hi,p
"primary (all named people, controlled)",14,204,0.0406677758503474,0.015690392645372916,0.06564515905532188,0.0014169198732650852
robustness (merged people excluded),12,150,0.08403986328243856,0.046529482509217436,0.1215502440556597,1.1273340856433214e-05
