chat_id,exec_run_id,ping_id,ping_type,replied,control_replied,window_min
S06,3471fa80302344f3bf7da0d283f2246e,615,hs2_entry,1,0.0,30
S06,3471fa80302344f3bf7da0d283f2246e,627,hs3_proactive,0,0.0,30
S06,02d6ec4288c846cb869f00e3dac804c6,677,hs2_entry,0,0.0,30
S06,02d6ec4288c846cb869f00e3dac804c6,685,hs2_entry,1,0.0,30
S06,02d6ec4288c846cb869f00e3dac804c6,695,hs2_entry,0,0.0,30
S06,361fc67bb2ea4c5387751d2ccd9e8646,725,hs2_entry,1,0.0,30
S08,c7f32d254fed4f6a8d39d08a487bccfc,236,hs3_proactive,1,0.0,30
S08,cb1fca0922594f4ba6bd46d3982dc589,301,hs3_proactive,0,0.0,30
S08,cb1fca0922594f4ba6bd46d3982dc589,339,hs3_proactive,0,0.0,30
S08,b6598f788a9d424b928d8f9a1f1ccc36,431,hs2_entry,0,0.0,30
S08,b6598f788a9d424b928d8f9a1f1ccc36,440,hs2_entry,0,1.0,30
S08,b6598f788a9d424b928d8f9a1f1ccc36,457,hs2_entry,0,0.0,30
S08,928e8a5fae93491f9eff4bb5305132db,501,hs2_entry,0,0.0,30
S08,928e8a5fae93491f9eff4bb5305132db,545,hs2_entry,0,0.0,30
S08,928e8a5fae93491f9eff4bb5305132db,553,hs2_entry,0,0.0,30
S08,3471fa80302344f3bf7da0d283f2246e,604,hs2_entry,0,0.0,30
S08,3471fa80302344f3bf7da0d283f2246e,612,hs2_entry,0,0.0,30
S08,02d6ec4288c846cb869f00e3dac804c6,674,hs2_entry,0,0.0,30
S08,02d6ec4288c846cb869f00e3dac804c6,682,hs2_entry,0,0.0,30
S08,02d6ec4288c846cb869f00e3dac804c6,692,hs2_entry,0,0.0,30
S08,361fc67bb2ea4c5387751d2ccd9e8646,722,hs2_entry,0,0.0,30
S08,361fc67bb2ea4c5387751d2ccd9e8646,738,hs2_entry,0,0.0,30
S09,c7f32d254fed4f6a8d39d08a487bccfc,237,hs3_proactive,1,0.0,30
S09,cb1fca0922594f4ba6bd46d3982dc589,302,hs3_proactive,0,0.0,30
S09,cb1fca0922594f4ba6bd46d3982dc589,345,hs3_proactive,0,0.0,30
S09,b6598f788a9d424b928d8f9a1f1ccc36,470,hs3_proactive,0,0.0,30
S09,3471fa80302344f3bf7da0d283f2246e,630,hs3_proactive,0,0.0,30
S10,c7f32d254fed4f6a8d39d08a487bccfc,235,hs3_proactive,0,0.0,30
S10,cb1fca0922594f4ba6bd46d3982dc589,300,hs3_proactive,0,0.0,30
S10,cb1fca0922594f4ba6bd46d3982dc589,338,hs3_proactive,0,0.0,30
S10,b6598f788a9d424b928d8f9a1f1ccc36,472,hs3_proactive,0,0.0,30
S10,3471fa80302344f3bf7da0d283f2246e,632,hs3_proactive,0,0.0,30
S11,c7f32d254fed4f6a8d39d08a487bccfc,238,hs3_proactive,1,0.0,30
S11,cb1fca0922594f4ba6bd46d3982dc589,303,hs3_proactive,0,0.0,30
S11,cb1fca0922594f4ba6bd46d3982dc589,347,hs3_proactive,0,0.0,30
S11,b6598f788a9d424b928d8f9a1f1ccc36,433,hs2_entry,0,0.0,30
S11,b6598f788a9d424b928d8f9a1f1ccc36,442,hs2_entry,0,0.0,30
S11,b6598f788a9d424b928d8f9a1f1ccc36,459,hs2_entry,0,0.0,30
S11,928e8a5fae93491f9eff4bb5305132db,503,hs2_entry,1,0.0,30
S11,928e8a5fae93491f9eff4bb5305132db,547,hs2_entry,0,0.0,30
S11,928e8a5fae93491f9eff4bb5305132db,555,hs2_entry,0,0.0,30
S11,3471fa80302344f3bf7da0d283f2246e,606,hs2_entry,0,0.0,30
S11,3471fa80302344f3bf7da0d283f2246e,614,hs2_entry,0,0.0,30
S11,3471fa80302344f3bf7da0d283f2246e,626,hs3_proactive,0,0.0,30
S11,02d6ec4288c846cb869f00e3dac804c6,676,hs2_entry,0,0.0,30
S11,02d6ec4288c846cb869f00e3dac804c6,684,hs2_entry,0,0.0,30
S11,02d6ec4288c846cb869f00e3dac804c6,693,hs2_entry,0,0.0,30
S11,361fc67bb2ea4c5387751d2ccd9e8646,723,hs2_entry,0,0.0,30
S11,361fc67bb2ea4c5387751d2ccd9e8646,739,hs2_entry,0,0.0,30
S12,cb1fca0922594f4ba6bd46d3982dc589,299,hs3_proactive,0,0.0,30
S12,cb1fca0922594f4ba6bd46d3982dc589,337,hs3_proactive,0,0.0,30
S12,b6598f788a9d424b928d8f9a1f1ccc36,471,hs3_proactive,1,0.0,30
S12,3471fa80302344f3bf7da0d283f2246e,631,hs3_proactive,1,0.0,30
S13,b6598f788a9d424b928d8f9a1f1ccc36,461,hs2_entry,0,0.0,30
S13,b6598f788a9d424b928d8f9a1f1ccc36,467,hs3_proactive,0,0.0,30
S13,928e8a5fae93491f9eff4bb5305132db,505,hs2_entry,1,0.0,30
S13,928e8a5fae93491f9eff4bb5305132db,548,hs2_entry,0,0.0,30
S13,928e8a5fae93491f9eff4bb5305132db,556,hs2_entry,1,0.0,30
S13,3471fa80302344f3bf7da0d283f2246e,605,hs2_entry,0,0.0,30
S13,3471fa80302344f3bf7da0d283f2246e,613,hs2_entry,0,0.0,30
S13,3471fa80302344f3bf7da0d283f2246e,625,hs3_proactive,0,0.0,30
S13,02d6ec4288c846cb869f00e3dac804c6,675,hs2_entry,1,0.0,30
S13,02d6ec4288c846cb869f00e3dac804c6,683,hs2_entry,0,0.0,30
S13,02d6ec4288c846cb869f00e3dac804c6,694,hs2_entry,0,0.0,30
S13,361fc67bb2ea4c5387751d2ccd9e8646,724,hs2_entry,0,0.0,30
S13,361fc67bb2ea4c5387751d2ccd9e8646,741,hs2_entry,0,0.0,30
S01,5b99e872377a41f09ad3b2a0b795c18b,44,hs3_proactive,0,0.0,60
S01,c7f32d254fed4f6a8d39d08a487bccfc,242,hs3_proactive,0,0.0,60
S01,cb1fca0922594f4ba6bd46d3982dc589,307,hs3_proactive,1,0.0,60
S01,cb1fca0922594f4ba6bd46d3982dc589,343,hs3_proactive,0,0.0,60
S01,b6598f788a9d424b928d8f9a1f1ccc36,432,hs2_entry,0,0.0,60
