target,auc_delta_mean,auc_delta_sd,auc_delta_lo,auc_delta_hi,null_mean,null_p95,perm_p,n_repeats,n_perm
replied_any,0.10001437125748504,0.024513114082483845,0.05213173652694616,0.13149700598802405,0.024709281437125606,0.0959760479041915,0.03980099502487562,25,200
reached_ss4,0.08076808905380327,0.006370622041320574,0.07198515769944322,0.09415584415584405,0.00018784786641922013,0.030883580705009208,0.004975124378109453,25,200
