target,feature_set,auc,auc_sd,auc_lo,auc_hi,pr_auc,n_repeats
replied_any,social-only,0.607154491017964,0.023262461895887876,0.5745029940119761,0.644119760479042,0.800847003329246,25
replied_any,social+hunger,0.7071688622754492,0.016763828021562798,0.6767425149700599,0.7332215568862276,0.8404385368725634,25
reached_ss4,social-only,0.6835231910946196,0.0049230061776496,0.6735157699443415,0.6901948051948054,0.7546416242362065,25
reached_ss4,social+hunger,0.764291280148423,0.005663101123708231,0.7551576994434136,0.7728200371057513,0.8182770204789803,25
