stage,n,status,reason,estimate,lo,hi,p,rate_ratio,rr_lo,rr_hi,cov_struct
1. P(detected on d+1),98,ok,,1.2128937776791673,-0.012431533205716327,2.438219088564051,0.0523700681503424,3.3632029460927613,0.987645419094775,11.452626456744195,exchangeable
2. eligible | detected (THE CODED GATE),2886,ok,,1.2547773684248844,-0.9765386188758083,3.4860933557255773,0.2703821402279981,3.5070575056862863,0.37661244453204873,32.658114533291446,independence (exchangeable gave a non-finite estimate)
3. proactive | eligible,61,ok,,0.027681811524059692,-0.025558311896183405,0.08092193494430279,0.3081702610902529,1.0280685128198124,0.9747655368816825,1.0842862483963984,exchangeable
